204 102
3 6
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
73	84	81
63	45	26
17	77	55
74	47	24
9	10	52
62	63	44
38	39	35
60	4	100
82	98	63
40	80	68
91	81	18
86	88	99
77	71	65
29	9	33
15	41	34
75	11	22
48	24	95
22	44	60
5	19	41
31	22	43
21	18	56
83	51	49
79	7	88
36	67	5
84	75	32
1	79	38
43	82	75
2	1	23
33	61	83
69	3	30
28	5	77
8	56	4
53	76	36
96	28	102
44	17	48
92	26	74
56	69	11
18	68	50
72	34	37
25	37	76
23	30	21
7	29	40
71	78	39
13	2	96
55	33	51
49	64	16
37	66	54
50	36	89
45	15	57
88	35	15
57	102	78
98	27	71
27	52	94
68	20	87
89	38	8
24	94	53
11	50	19
14	83	98
76	55	2
41	70	62
78	86	14
3	21	59
64	23	46
47	43	45
95	31	1
85	59	84
94	54	101
93	6	31
59	95	61
58	73	47
54	87	7
52	97	79
12	90	28
30	99	97
42	100	73
101	62	20
80	96	85
100	58	91
19	16	6
99	49	72
70	92	17
90	93	69
10	40	25
39	72	82
67	74	12
4	65	27
20	85	90
102	13	92
46	8	9
35	46	10
97	53	93
66	48	42
87	89	64
26	25	58
6	57	67
65	12	3
61	91	66
81	101	29
51	60	86
16	14	80
34	32	70
32	42	13
72	17	45
52	14	22
49	53	2
95	76	60
39	57	26
32	60	48
2	78	8
92	3	54
71	55	42
23	5	62
35	99	50
37	31	18
24	84	12
14	97	56
94	40	44
22	74	63
63	49	28
42	96	78
101	27	85
55	75	99
40	9	67
61	28	97
76	101	16
88	95	33
5	33	37
68	61	27
65	52	38
20	42	15
60	23	84
67	73	52
25	66	53
51	77	21
81	62	1
66	21	96
75	56	83
8	13	19
30	19	51
102	90	58
97	11	68
89	15	98
44	20	35
74	35	5
26	72	59
10	88	94
46	69	100
16	54	77
91	6	74
13	64	101
47	32	40
50	24	90
38	48	46
86	85	47
6	51	34
7	68	36
56	7	31
69	92	61
48	39	43
31	71	64
33	8	93
79	4	17
98	37	95
77	87	25
19	67	49
87	2	69
1	22	10
64	29	88
70	91	65
84	25	102
99	45	66
58	18	57
4	1	70
12	30	72
82	89	32
15	47	55
18	59	24
21	81	13
54	100	29
57	50	4
90	94	23
34	10	79
93	44	89
73	102	41
80	26	82
11	65	92
45	41	87
28	83	71
85	34	39
9	82	14
3	36	20
83	86	76
29	70	80
43	12	9
78	63	73
27	46	30
59	16	86
62	58	6
41	98	91
96	93	11
53	43	81
36	79	75
17	38	3
100	80	7
26	167	28	173	65	135
28	109	44	166	59	105
62	191	30	110	96	203
86	173	8	162	32	180
19	127	31	112	24	144
95	155	68	149	79	198
42	156	23	157	71	204
32	138	89	161	55	109
5	190	14	123	89	194
83	146	5	182	90	167
57	186	16	141	37	200
73	174	96	194	85	115
44	150	88	138	102	178
58	116	100	104	61	190
15	176	49	142	50	130
100	148	79	197	46	125
3	203	35	103	81	162
38	177	21	172	11	114
79	165	19	139	57	138
87	130	54	143	76	191
21	178	62	136	41	134
18	118	20	167	16	104
41	112	63	131	28	181
56	115	17	152	4	177
40	133	94	170	83	164
94	145	36	185	2	107
53	196	52	121	86	128
31	188	34	124	73	119
14	193	42	168	98	179
74	139	41	174	30	196
20	160	65	114	68	157
102	108	101	151	25	175
29	161	45	127	14	126
101	182	39	189	15	155
90	113	50	144	7	143
24	202	48	191	33	156
47	114	40	163	39	127
7	153	55	203	26	129
84	107	7	159	43	189
10	123	83	117	42	151
60	199	15	187	19	184
75	120	102	130	92	111
27	194	64	201	20	159
35	143	18	183	6	117
49	187	2	171	64	103
89	147	90	196	63	153
64	151	4	176	70	154
17	159	92	153	35	108
46	105	80	119	22	165
48	152	57	180	38	113
99	134	22	155	45	139
72	104	53	129	5	132
33	201	91	105	56	133
71	179	67	148	47	110
45	122	59	111	3	176
37	157	32	137	21	116
51	180	95	107	49	172
70	172	78	198	94	140
69	197	66	177	62	145
8	131	99	108	18	106
97	124	29	128	69	158
6	198	76	135	60	112
2	119	6	195	9	118
63	168	46	150	93	160
96	129	86	186	13	169
92	136	47	133	97	171
85	132	24	165	95	123
54	128	38	156	10	141
30	158	37	147	82	166
81	169	60	193	101	173
43	111	13	160	52	188
39	103	84	145	80	174
1	184	70	132	75	195
4	144	85	118	36	149
16	137	25	122	27	202
59	125	33	106	40	192
13	164	3	134	31	148
61	195	43	109	51	120
23	162	26	202	72	182
77	185	10	204	100	193
98	135	11	178	1	201
9	175	27	190	84	185
22	192	58	188	29	137
25	170	1	115	66	131
66	189	87	154	77	121
12	154	61	192	99	197
93	166	71	164	54	187
50	126	12	146	23	168
55	142	93	175	48	183
82	181	73	140	87	152
11	149	97	169	78	199
36	110	81	158	88	186
68	183	82	200	91	161
67	117	56	181	53	146
65	106	69	126	17	163
34	200	77	120	44	136
91	141	72	116	74	124
52	163	9	199	58	142
80	171	74	113	12	122
78	204	75	179	8	147
76	121	98	125	67	150
88	140	51	184	34	170
